Orthogroup	saccharomyces_cerevisiae	schizosaccharomyces_pombe
56299	855561	2543441
56301	855634	2542773
56308	855792	2540204
56320	856243	2541952
56324	851857	2541757
56325	854214	2542288
56339	851237,854557	2539147
56344	854412,855958	2540206,2540947
56357	852984,856227	2541599
56461	856913,851667	2541560
56499	856218	2543623
56537	851148	2541961
56672	852709	2540383
56708	851332	2541273
56743	855890	2539255
56807	855399	2543089
56959	853871	2541099
56969	853082	2539076
57002	850388	2539632
57015	855196	2540130
57032	852926,851064	2540054
57102	850712	2542922
57158	852225	2539901
65049	853267	2541555
68044	856418	2539513
68076	851386	2538802
68096	854948,856626,851152	2540315
68099	853644	2538786
68103	856853,852191	2539286,2543453
68104	855283,854489	2542725,2542093
68105	852379,852254	2540870,2539178
68110	850882,852111	3361407,2538715
68112	854939,851162	2542817,2541737
68143	854357,851000	2540149
68145	856024,852487	2540367,2542629
68148	856805,854741	2542430,2539848
68150	850969,854338	2539085,2542751
68173	852317	2540017
68174	856911	2543064,2542363
68181	852415,856195	2539035,2539917,2541984
68199	856686	2542471
68226	851752	2539479
68249	853128,850737	2541144,2543293
68268	853172,856589	2541146
68273	851513	2538758
68304	852839	2541941
68307	853969,854658	2542428,2541768
68364	851713	2543193,2540937
68404	856412	2540046
68426	855386	2540368
68439	853757	2539622
68450	851006	2543110,2543536
68479	856140	2539171
68483	853528	2543233
68504	850506	2540582
68525	853959	2540430
68543	852742,855881	2539222,2540378
68548	853608	2539761
68559	851217	2543042
68565	852211,856836	2538924
68581	852378	2540300
68600	850323	2540327
68601	850324	2540772
68612	851358	2541022
68615	851317	2542911,2543419
68623	851462	2541418
68632	851608,851609,851610	2541204
68641	851785	2541625
68657	852015,854324,854506	2539195
68693	852691	2539019
68701	852778	2541682
68717	853025,856268	2539704
68728	856488	2543503
68737	856609	2543024,2542289,2541387
68744	854651	2539217
68748	854699	2541948
68751	856814,854736	2539490
68756	854853	2540402
68777	853461	2540375
68778	853466	2540422
68784	853552	2540355
68787	853573	2540729
68806	853739	2541790
68813	856389	2539266
68832	850778	2540891
68833	850779	2540773
68839	851758,850861	2541292
68845	851007,854362	2539993
68863	855135	2541345
68870	855257	2542573
68890	855640	2539902
68891	855649	2542446
68893	855679	2539054
68911	854025	2538726
68914	854027	2542283
68918	854070	2541670
68920	854093	2541014
68952	855829	2539614
68960	855978	2538800
68963	856017	2543325,3361570
68973	856099	2543118
68984	855580	2539332
68986	856294	2542013,2541612
69045	854889	2540936,2539864
69153	853348	2540685
69192	855778	2543235
69199	854160	2539931
69753	852066	2542747
70948	855521	2542742
71144	853792	2538733,2538958,2539138,2539052
74306	855836,855224	2543539
74402	850504	2540051
74409	852457	2539869
74414	853169,856579	2539782,3361181
74521	854431	2539261
74572	855584	2538829
74604	852511	2542639
74614	850342	2540283
74634	851697	2539786
74658	856741	2541720
74665	856860	2542395
74667	852636	2542714
74670	852681	2543643
74683	853016	2540775
74697	856461	2542131
74711	854765	2542914
74712	854820	2540676
74733	853784	2541750
74734	853820	2538908
74739	853308,853926	2542566
74755	850950	2539027
74768	855021	2541231
74781	855197	3361515
74783	855205,855206	2543659
74795	851369,855512	2540199
74804	855753	2542851
74831	854447	2540897,2539445,2542991
74839	855834	2543129
74841	855897	2540718
74856	853019,856260	2543501
74858	856321	2538983
75341	850508	2539016
77124	853539	2540029
77989	856912	2541505
80163	855343	2542465
80174	851707	2539765
80210	856593	2542404
80244	850835	2540717
81646	851829	3361182
81653	855552	2539756,2541447
81684	856615	2540831
81740	853869	2542359
81762	850436,855765	2542873
81776	853439	2539219
81844	853364	2541318,2541496
81915	852685	2541519
83271	854150	2539668
83305	855767	2540389
85949	852479,856015	2542870,2543581
86986	856862	2541818
87772	852804,855903	2543448,2540841
88443	852337,851589	2543120,2542904
88554	853286	3361378
88581	855170	2542652
88764	852061,854982	3361064,2540180
88782	855860	2541439
90855	852730,855658	2543380,2539464
90857	856610,853610	2540325,2543486,2540649
90874	854227	2541972
90878	853181	2540052
90880	851254	2541294
90887	850577	2542180
90891	852951	2543373
90894	854321	2540088
90897	855883	2540439
90915	853305,853931	2540806
90926	853248,850397	2540817,5802781
90938	853665	2542983
90949	850358	2543513
90953	850865	2540922
92055	854601	1669530
94517	853147	2542919
95094	852456	2543099
99414	856746	2539738
99739	852433	2540719
99774	851014	2540883
99836	855232,855826	2540644,2538883
100530	850614,852639	2542634
100558	851471	2539055
100630	854433	2539189
100661	854418	2543506
100734	851666	2542925
100743	856924,851676	2542252
100816	851993,854301	2539544,3361483
100830	851212	2538913
100845	855568,856537	2539610,2541341
100934	850543	2543280
100947	856677,853506	2540232,2542694
101043	855879	2541666
101105	855243	2540506
101298	852822	2542622
101331	855593	2541829
101539	850892	2540407
101541	856530	2539676
101552	852330	2540846
101565	851618	2539188
101614	856386,853861	2540466
101615	853925	2543068
101618	850824	2542839
101633	855663	2540699
102045	851591	2541725
102073	854808,855288	2541350
103828	855925	2539791
103894	856704	2540738
103998	853303,853933	2542948
104067	852458,856050	2542292,2538722
104074	851480	2541233
104091	853559	2541584
104109	855936	2543358
104264	853671	2540405
105144	852082,856401	2539336,2541156
105146	854759,856784	2541989,2538815
105237	854419	5802702
105262	856870	2541193
105284	855587	2541195
105453	851833	2540976
105462	850682,856352	2540517
105685	856855	2540081
105687	850805	2541794
105690	850964,854342	2543328
107053	853395,853106,853465	2540547,2540975
107623	851337	2542023
110453	853993	2539701,2540851
110643	854117	2538892,2542912
110649	855972	2539680,2543642
110703	855784	2539922
110745	856727	2542783
110750	854551	2539588,2540015
110830	854420	2539566
110867	852058,854984	2541229,2539331
110920	852978,850825,850733	3361478,2543400
111992	855501	2542823
112533	856584,855932	2541553,2541543
113185	855842	2541780
113207	852922,851058	2540274
113604	851299,856625,851537,852390,852389	2540420,2540606,2541339
113608	852293	2541116,2542190
113632	854014,852154,852720,852844	2543471
113646	852602,854635,853235,853204,854008,853214,853209	2539976
113648	854677	2541317
113660	854933	2541088
115477	852775	2539548,2541130
115574	853262,853674	2539013,2540358
115598	851516	2539270
115690	851822	2539192
115716	852170	3361381
115735	854527	2539723
115908	852241	2542937
116010	852231	2543316
116536	854088	2542607
116779	855400	2540319
116874	856078	2543678
117682	855919	2539918
117725	852275	2540219
117737	852443	2542620
117751	850409	2543107
117752	855783	2543432
117754	851364	2543609
117757	851387	2542253
117767	851545	2541165
117777	851932	2539613
117780	852081	2542501
117784	856691	2540746
117788	856775	2541179
117811	853009	2540192
117832	854696	2542951
117842	853361,853891	2541205
117843	853374	2541183
117845	853421	2539343
117847	853494	2541379
117854	853714	2541634
117859	853834	2539480
117866	853964	2542205
117870	850786	2539142
117877	851137	2539263
117883	854895	2541048
117886	854943	2539411
117890	855168	2541503
117891	855241	2541120
117898	855436	2541290
117919	854406,855963	2540919
117921	854428	2540961
117929	856065	2541900
117933	856135	2538746
117936	856222	2541506
120306	850368,855736	2542020
121491	856925	2541579
121574	855898	2539781
121664	856187	3361433
121727	855395	2543342
121860	853710	2543612
122138	856533	2541067
122155	852172	2541611
122156	852224,856823	2542008
122159	851660	2541297
122162	852001	2539570
122170	855420	2541486
122202	856722	2538741
122248	850612	2538953
123861	856600	2540432
123869	854026	2541706,2539870
123916	850392	2540853
123934	851342	2541660
123971	851114	2538841
123986	850930	2543027
124023	853870	2542724
124435	853131	2542812
124443	851076	2540612
124444	854867	2538748
124448	855747	2540279
124449	855761	2538966,2542390
128047	856656,852026	2539186,2539010
128048	852489,856026	2543337,2540950
128182	851636	2542108
128202	850444	2542084
128432	851620	2538729
128489	855532	2539426
128490	856121	3361393
128491	854855	2540222
128665	854179	2539379
128982	853249,851082	2541838,2541977
129020	854409,855960	3361295,2539518
129115	850676	2541738
129218	853922	2539538
129653	854157	2543112
129854	854385	2542233
130260	850620	2541030
130573	850317	2543607
130576	852017	2538712
130583	856384	2541569
130587	854653	2543619
130594	853806	2541385
130596	850628	2540594
130598	850797	2542165
130603	855043	2539161
130606	855269	2538897
130607	855310	2539617
130608	855346	2543626
130609	855414,854028	2540447,2541084
130610	855418,854036	2541468
130613	855739	2542403
130616	854162	2543630
130617	854320	2542832
130620	856042	2539802
130801	850585	2542358
133014	851484,851122	2543475
133133	851429	2539393
133143	852206,856839	2541491,2543354
133164	856492,851943,851944,851946,856494,850770,853216,853236,854009	2541736,2541758,2539710,2538732,2539977,2539240,2538845,2539300
133183	852797	2541327
133264	853104	2540779
133744	856672	2539146
133764	853393	2543395
133863	850764	2540795,2541678
133984	852565	2542242
134088	851518	2540622
134140	852295	2542467,2541220,2539804
134198	855114	2541079
134212	852673	2540784
134226	854764	3361154
134282	856886	3361477
134329	852107	2538833
134371	853384	2542835
134420	852200	2541386
134429	852568	2539289
134478	852294,855701	2542463,2539991,2541200
134480	851811,852283	2542226,2539499
134711	855636	2540541
134715	855447	2542594
134772	851810,852284	2539523
135053	856779	2539652
135080	850456	2539729
135089	853884	2542248
135169	852554	2543669
135202	851963	2538703
135205	852763	5802929
135206	856263	2543360
135234	852439	2540874
135300	850304	2542112
135304	854135	2540181
135378	853419	2541630
135399	855790	2540503
135409	852538	2539280
135504	853839	2539592
135514	856765	2542181
135565	856163	2539835
135642	855274	2540252
135698	851444	2539946
135796	854158	2540018
135829	853595	2541719
135835	850636,851259	2542875,2539225
135931	855477	2540672
136464	851468	2542380
136519	854902,851169	2539372
136612	852825	2538753
136648	852916	2543175
136821	851256	2541538
136822	851196	2543241
136824	851214	2539045,2541983,2541531
136827	852194	2542438
136828	852199	2543502
136831	852223	2542124
136833	852245	2539135
136834	852248	2539434
136835	852264,853233,854634,855802	2539861
136837	852349	2541157
136841	852432	2540027
136845	852569	2539563
136850	850430	2539686
136859	851407	2540674
136861	851454	2539074
136867	851508	2542560
136871	851656	2543219
136876	851746	2541293
136880	851865	2538985,2542447
136881	851878	2541078
136884	851893	2543540
136885	851895	2539694
136886	851925	2539121
136890	851969	2540076
136902	852095	2540233
136908	856657	2539689
136909	856665	2541852
136912	856673	2543661
136914	856692	2538768
136915	856702	2541010
136917	856716	2539520
136919	856723	2540469
136922	856744	2543212
136927	856859	2541825
136931	856901	2539758
136932	852607	2541123
136933	852610	2541885
136939	852735	2539152
136940	852747	2540362
136941	852773	2543087
136942	852794	2540320
136943	852857	2542534
136944	852888	2539924
136950	852952	2542871
136951	852974	2542064
136952	852985	2541461
136956	853007	2542281
136961	853108	2539441
136966	853160	2539889
136972	856373	2542554
136973	856387	2540055
136974	856388,853864	2542425
136975	856403	2542802
136979	856490	2543454
136981	856508	2540570
136982	856514	2539679
136986	856573	2543126
136987	856577	2540392
136988	854662	2540097
136989	854682	2541489
136993	854742	2538952
136994	854760	2540461,2543017
137008	853335	2540284
137010	853363,853888	2542997
137011	853365	2539425
137012	853376	2540529
137015	853409	2542668
137017	853455	2541636
137018	853458	2542038
137019	853462	2542083
137020	853492	2539473
137022	853509	2540230
137025	853569	2539129
137033	853669	2539973
137041	853781,856059	2542298
137043	853833	2543527,2538948
137053	850652	2543155
137059	850796	2539491
137060	850807	2538832
137066	850935	2539881
137072	851049	2541610
137073	851099	2539020
137074	851113	2540537
137075	851115	2538955,2543426
137080	854869	2542071
137081	854881	2542351
137089	855101	2540725
137090	855102	2541270
137093	855158	2543371
137095	855256	2539847
137096	855273	2539310
137097	855319	2542667
137103	855471	2541635
137105	855481	2538783
137113	855618,854276	2540270
137114	855626	2539953
137117	855664	2541274
137118	855687	2541207
137124	855764	2540068
137125	855774	2538809
137127	854020	2542077
137128	853997	2541150
137136	854116	2542314
137138	854167	2542142
137141	854222	2540962
137145	854263	2542553
137147	854293	2539062
137151	854372	2538976
137154	854424	2541907
137155	854454	2541420
137160	854495	2540731
137161	854497	2542426
137162	854501	2543410
137169	855838	2542942
137178	856021	2542419
137180	856040	2542429
137181	856063	2540871
137182	856070	2543515
137184	856136	2540555
137186	856168	2539407
137187	856171	2543680
137188	856220	2539017
137189	856223	2540794
137193	856254	2543387
137199	856305	2541347
137200	856317	2539083
137415	850491	2541810
