C0 (1070 OGs)			C1 (94 OGs)			C2 (483 OGs)		
56299	855561	2543441						
5632	851698	2540604						
56320	856243	2541952						
56324	851857	2541757						
56325	854214	2542288						
56339	851237,854557	2539147						
5641	851736	2539267						
56461	856913,851667	2541560						
56499	856218	2543623						
5652	851777	2538759						
5656	851798	2539691						
5661	851820	2542867						
5663	851823	2540459						
5664	851824	2539798						
56672	852709	2540383						
5673	851861	2543249						
56743	855890	2539255						
5683	851894	2542273						
5690	856463,851907	2542610						
56969	853082	2539076						
57002	850388	2539632						
57032	852926,851064	2540054						
5706	851939	2540218						
5707	851942	2540548						
5711	851955	3361358						
57158	852225	2539901						
5729	853597	2541970						
5735	852019	2542982						
5752	852076	2542686						
5754	852083	2540014						
5758	852098	2540577						
5794	856694	2541142						
5799	856714	2539611						
5800	856715	2541498						
5803	856725	2540396						
5817	856778	2540602						
5818	856782	2542720						
5820	856790	2541226						
5827	856811	2542952						
5829	856819	2540162						
5835	856846	2539863						
5844	856863	2539413						
5848	856884	2541839						
5853	856900	2543308						
5858	856915	2539578						
5870	852606	2542408						
5876	852616	2540415						
5881	852651	2539063						
5894	852702	2542204						
5903	852729	2538817						
5917	852779	2541449						
5918	852786	2541684						
5930	852815	2539854						
5931	855889	2539082						
5938	852846	2540906						
5959	852908	2539571						
5960	852915	2539116						
5961	852919	2541745						
5978	852977	2539093						
5982	852988	2540155						
5984	852995	2540659						
5997	853047	2540526						
5998	853048	2538997						
6003	853061	2540538						
6009	853081	2541577						
6017	853109	2543451						
6030	853142	2543245						
6039	853170	2539672						
6076	856413	2540431						
6078	856419	2540713						
6090	856460	2541389						
6092	856462	2543571						
6096	856467	3361429						
6098	856473	2539475						
6099	856474	2541371						
6100	856475	2541589						
6101	856476	2542147						
6107	856507	2542193						
6115	856522	2542897						
6120	856553	2542514						
6127	856575	2542319						
6137	856601	2543420						
6149	855951	2542349						
6170	854717	2538900						
6173	854726	2539367						
6182	854768	2539526						
6205	854850	2542470						
6206	854852	2541500						
6221	853287	2539462						
6229	853317	2542192						
6238	853342	2541108						
6245	853358	2542158						
6257	853397	2541639						
6265	853441	2538788						
6272	853464	2543654						
6274	853470	2540126						
6275	853471	2540154						
6276	853473	2542155						
6277	853481	2542010						
6287	853527	2542868						
6288	853531	2541908						
6290	853534	2541465						
6291	853536	2540995						
6312	853604	2541148						
6320	853668	2540393						
6326	853653	2543497						
6329	853684	2541232						
6333	853706	2539500						
6337	853713	2540510						
6341	855140	2541481						
6347	853750	2542458						
6349	853762	2542134						
6379	853860	2539913						
6384	850686	2540159						
6389	853894	2540518						
6395	853910	2540141						
6400	853943	2538945						
6404	853956	2543500						
6424	850630	2541673						
6430	850649	2540796						
6437	850698	2538718						
6471	850869	2539471						
6487	850944	2543397						
6488	850945	2540928						
6491	850951	2539295						
6493	850955	2539608						
6497	850977	2541201						
6498	850982	2538776						
65049	853267	2541555						
6507	850998	2543035						
6517	851052	2538893						
6520	851065	2542673						
6526	851098	2543476						
6533	851117	2541573						
6536	851125	2539299						
6541	851139	2542745						
6553	851181	3361539						
6561	854865	2541166						
6564	854877	2540867						
6575	854938	2542761						
6585	854987	2538855						
6599	855036	2541252						
6607	855051	2540235						
6617	855084	2539792						
6620	855093	2540256						
6627	855116	2538836						
6630	850484,855120,855382	2541464						
6631	855383,855121,850485	2542689						
6642	855159	2540429						
6644	855161	2539693						
665	852065	2539674						
6654	855202	2538899						
6662	855240	2541623						
6666	855260	2543184						
6687	855304	2543348						
6693	855321	2538920						
6694	855326	2543128						
6697	855335	2541668						
6713	855392	3361401						
6716	855396	2540264						
6730	855426	2541493						
6756	855502	2542331						
6760	855514	2539957						
6768	855536	2541549						
6774	855553	2540605						
6781	855575	2538964						
6785	855591	2542520						
6806	855632	2540132						
68076	851386	2538802						
68096	854948,856626,851152	2540315						
6812	855651	2539141						
6814	855653	2538797						
68143	854357,851000	2540149						
68173	852317	2540017						
68174	856911	2543064,2542363						
6818	855665	2541031						
68199	856686	2542471						
68226	851752	2539479						
68273	851513	2538758						
6828	855709	2542630						
6832	855722	2543317						
6833	855726	2540645						
68364	851713	2543193,2540937						
68404	856412	2540046						
6843	855763	2539606						
68450	851006	2543110,2543536						
6848	855772	2543614						
68525	853959	2540430						
68548	853608	2539761						
68559	851217	2543042						
68565	852211,856836	2538924						
6858	855789	2542777						
68600	850323	2540327						
68601	850324	2540772						
68632	851608,851609,851610	2541204						
68641	851785	2541625						
68657	852015,854324,854506	2539195						
6867	854023	2541837						
68693	852691	2539019						
68728	856488	2543503						
68737	856609	2543024,2542289,2541387						
68748	854699	2541948						
6875	853995	2542398						
68751	856814,854736	2539490						
68756	854853	2540402						
6876	853996	2540011						
6882	854055	2543450						
68839	851758,850861	2541292						
68845	851007,854362	2539993						
6885	854059	2542790						
6886	854060	2543319						
68863	855135	2541345						
68870	855257	2542573						
68914	854027	2542283						
68918	854070	2541670						
68920	854093	2541014						
68952	855829	2539614						
68960	855978	2538800						
68963	856017	2543325,3361570						
68973	856099	2543118						
68984	855580	2539332						
6899	854096	2541050						
69045	854889	2540936,2539864						
6910	854138	2540398						
69153	853348	2540685						
69192	855778	2543235						
6920	854163	2540993						
6927	854213	2542674						
6931	854233	2542143						
6937	854252	3361396						
6945	855625,854268	2542285						
6950	854286	2542923						
6956	854295	2538734						
6961	854317	2541679						
6968	854336	2541926						
6979	854377	2540675						
6980	854381	2542666						
6981	854382	2543393						
6984	854386	2539844						
6988	854397	2543171						
6991	855968,854401	2541513						
6992	854407	2541039						
6997	854415	2540103						
6998	854417	2540668						
7006	854436	2542899						
7010	854448	2543065						
7024	854487	2541814						
7033	854519	2540873						
7035	854530	2543679						
7039	854560	2540164						
7047	855862	2540247						
7048	855863	2539583						
7061	855875	2543082						
7065	855884	2540390						
7066	855887	2541872						
7068	855894	2539172						
7083	855943	2542670						
7100	856012	2541126						
7101	856013	2541392,2541377,2541401,2541374						
7105	856019	2541614						
71144	853792	2538733,2538958,2539138,2539052						
7115	856057	2543252						
7118	856067	2539323						
7121	856084	2543105						
7133	856119	2541280						
7150	856197	2539369						
7151	856209	2541843						
7158	856228	2541303						
7160	856234	2540540						
7175	856296	2542836						
721	851415	2540292						
722	854322	2541446						
725	856438	2541038						
726	851898	2541395						
731	853821	2539933						
74306	855836,855224	2543539						
74521	854431	2539261						
74604	852511	2542639						
74614	850342	2540283						
74667	852636	2542714						
74670	852681	2543643						
747	854229	2543309,2542265						
74712	854820	2540676						
74733	853784	2541750						
74734	853820	2538908						
74739	853308,853926	2542566						
74755	850950	2539027						
74783	855205,855206	2543659						
74795	851369,855512	2540199						
74831	854447	2540897,2539445,2542991						
74839	855834	2543129						
74856	853019,856260	2543501						
7561	852766	2539133						
766	852853	2542848,2542661						
776	855560,856544	2542789						
77989	856912	2541505						
783	853587	2542939,2541712						
80163	855343	2542465						
80174	851707	2539765						
80244	850835	2540717						
803	856415,853700	2539969						
8057	854814	2542122						
81653	855552	2539756,2541447						
81740	853869	2542359						
81762	850436,855765	2542873						
81844	853364	2541318,2541496						
8240	852365	2541798						
8245	855103	2543628						
83271	854150	2539668						
83305	855767	2540389						
834	854241	2542801						
8512	853961	2540006						
908	851420	2543214						
90878	853181	2540052						
90891	852951	2543373						
90915	853305,853931	2540806						
9314	856660	2539321						
9359	855489	2539351						
9366	856097	2539522						
9384	852800	2539169						
95094	852456	2543099						
9542	855876	2541002						
96	854663	2542174						
9683	854057	2538771						
9817	852257	2541917,2542264						
99414	856746	2539738						
99774	851014	2540883						
